オーダーID,オーダー日,顧客ID,商品ID,数量,売上,出荷日,キャンセル日,ステータス,氏名,ひらがな,生年月日,性別,都道府県,商品名,カテゴリ,サブカテゴリ,色,サイズ,定価
201901180008-1,2019-01-18,C00000447,TS-CWBS,1,7600,2019-01-20,,配達済み,井沢 千尋,いざわ ちひろ,1978-10-18,女,大阪府,Women Black Tシャツ C S,トップス,Women,Black,S,7600
201901180011-1,2019-01-18,C00000768,PA-CWWS,1,14300,2019-01-24,,配達済み,松原 友子,まつばら ともこ,1996-01-12,女,岐阜県,Women White パンツ C S,ボトムス,Women,White,S,14300
201901180016-1,2019-01-18,C00002003,TO-AUNN,1,2280,2019-01-23,,配達済み,原田 さくら,はらだ さくら,1991-11-19,女,神奈川県,タオル A,小物,Unisex,,,2280
201901180009-1,2019-01-18,C00000476,PA-CMBS,1,14300,2019-01-22,,配達済み,伊藤 裕章,いとう ひろあき,1991-11-20,男,大阪府,Men Black パンツ C S,ボトムス,Men,Black,S,14300
201901180014-1,2019-01-18,C00001700,PA-BMBL,1,20000,2019-01-21,,配達済み,中村 淳,なかむら じゅん,1971-12-01,男,愛知県,Men Black パンツ B L,ボトムス,Men,Black,L,20000
201901180017-1,2019-01-18,C00002010,HA-AUNN,1,5280,2019-01-24,,配達済み,久保 義弘,くぼ よしひろ,1980-10-30,男,東京都,帽子 A,小物,Unisex,,,5280
201901200017-1,2019-01-20,C00001188,SW-AMWL,4,64000,2019-01-24,,配達済み,福田 諒,ふくだ りょう,2004-02-15,男,徳島県,Men White セーター A L,トップス,Men,White,L,16000
201901200003-1,2019-01-20,C00000278,NI-BWWL,1,15100,2019-01-27,,配達済み,田部井 明奈,たべい あきな,1998-12-07,女,青森県,Women White ニット B L,トップス,Women,White,L,15100
201901200009-1,2019-01-20,C00000372,SW-BWBM,1,15900,2019-01-22,,配達済み,村上 玲子,むらかみ れいこ,1988-04-27,女,東京都,Women Black セーター B M,トップス,Women,Black,M,15900
201901200000-1,2019-01-20,C00000168,VE-CWWM,1,16800,2019-01-20,,配達済み,木下 綾,きのした あや,1991-11-09,女,北海道,Women White ベスト C M,アウター,Women,White,M,16800
201901200011-1,2019-01-20,C00000391,HC-BUNN,1,980,2019-01-22,2019-02-04,キャンセル,川端 みちる,かわばた みちる,1991-07-27,女,埼玉県,ハンカチ B,小物,Unisex,,,980
201901200016-1,2019-01-20,C00000974,HA-AUNN,1,5280,2019-01-20,,配達済み,伴野 朗,ばんの ろう,1973-12-12,男,愛知県,帽子 A,小物,Unisex,,,5280
201901200012-1,2019-01-20,C00000445,NI-BWGS,1,15100,2019-01-24,,配達済み,斉藤 智代,さいとう ともよ,2007-04-05,女,大阪府,Women Gray ニット B S,トップス,Women,Gray,S,15100
201901200018-1,2019-01-20,C00001425,TS-CMBL,1,7600,2019-01-24,,配達済み,大島 真吾,おおしま しんご,2003-04-25,男,静岡県,Men Black Tシャツ C L,トップス,Men,Black,L,7600
201901200015-1,2019-01-20,C00000476,PA-AMWM,1,16500,2019-01-24,,配達済み,伊藤 裕章,いとう ひろあき,1991-11-20,男,大阪府,Men White パンツ A M,ボトムス,Men,White,M,16500
201901200002-1,2019-01-20,C00000225,HC-BUNN,1,980,2019-01-21,,配達済み,大畑 敏秀,おおはた としひで,1994-03-28,男,愛知県,ハンカチ B,小物,Unisex,,,980
201901210000-1,2019-01-21,C00000163,PA-BWBM,1,19800,2019-01-27,,配達済み,丸橋 麻依子,まるはし まいこ,2003-05-04,女,岡山県,Women Black パンツ B M,ボトムス,Women,Black,M,19800
201901210001-1,2019-01-21,C00000353,NI-BWGL,1,15100,2019-01-24,,配達済み,和田 真紀子,わだ まきこ,1980-11-29,女,大阪府,Women Gray ニット B L,トップス,Women,Gray,L,15100
201901210002-1,2019-01-21,C00000366,TS-CWGL,1,7600,2019-01-27,,配達済み,山下 加奈,やました かな,1983-08-29,女,新潟県,Women Gray Tシャツ C L,トップス,Women,Gray,L,7600
201901210004-1,2019-01-21,C00001139,SB-BUNN,1,6800,2019-01-26,,配達済み,吉岡 智彦,よしおか ともひこ,1993-04-25,男,広島県,ショルダーバッグ B,バッグ,Unisex,,,6800
201901210006-1,2019-01-21,C00001993,NI-BWWS,1,15100,2019-01-27,,配達済み,高嶋 佳織,たかしま かおり,1995-06-10,女,大阪府,Women White ニット B S,トップス,Women,White,S,15100
201901210002-2,2019-01-21,C00000366,BP-AUNN,1,10200,2019-01-27,,配達済み,山下 加奈,やました かな,1983-08-29,女,新潟県,バックパック A,バッグ,Unisex,,,10200
201901210001-2,2019-01-21,C00000353,BP-AUNN,1,10200,2019-01-25,,配達済み,和田 真紀子,わだ まきこ,1980-11-29,女,大阪府,バックパック A,バッグ,Unisex,,,10200
201901220009-1,2019-01-22,C00002111,SW-BMWS,3,47700,2019-01-25,,配達済み,尾島 修一,おじま しゅういち,1978-03-03,男,東京都,Men White セーター B S,トップス,Men,White,S,15900
201901220008-1,2019-01-22,C00002070,JA-CMBM,1,20800,2019-01-25,,配達済み,村上 陽子,むらかみ ようこ,1974-04-11,女,千葉県,Men Black ジャケット C M,アウター,Men,Black,M,20800
201901220004-1,2019-01-22,C00001383,NI-BWWS,1,15100,2019-01-24,,配達済み,齊藤 由紀,さいとう ゆき,1999-05-08,女,広島県,Women White ニット B S,トップス,Women,White,S,15100
201901220003-1,2019-01-22,C00000801,PA-BMBL,1,20000,2019-01-25,,配達済み,水谷 文博,みずたに ふみひろ,1982-05-23,男,東京都,Men Black パンツ B L,ボトムス,Men,Black,L,20000
201901220000-1,2019-01-22,C00000220,SW-CWWL,2,36800,2019-01-25,,配達済み,田中 友紀,たなか ともき,2002-07-05,女,東京都,Women White セーター C L,トップス,Women,White,L,18400
201901230005-2,2019-01-23,C00001851,TS-AMGM,1,7900,2019-01-28,,配達済み,関 勇太,せき ゆうた,1988-03-03,男,新潟県,Men Gray Tシャツ A M,トップス,Men,Gray,M,7900
201901230000-1,2019-01-23,C00000480,SK-AWGL,1,18100,2019-01-30,,配達済み,山口 奈都美,やまぐち なつみ,1975-03-28,女,東京都,Women Gray スカート A L,ボトムス,Women,Gray,L,18100
201901230005-1,2019-01-23,C00001851,PA-AKWL,1,7600,2019-01-27,,配達済み,関 勇太,せき ゆうた,1988-03-03,男,新潟県,Kids White パンツ A L,ボトムス,Kids,White,L,7600
201901230002-1,2019-01-23,C00001815,PA-CMGL,1,14300,2019-01-30,,配達済み,西岡 和浩,にしおか かずひろ,1973-09-25,男,福岡県,Men Gray パンツ C L,ボトムス,Men,Gray,L,14300
201901250019-1,2019-01-25,C00002053,BP-AUNN,1,10200,2019-01-30,,配達済み,金子 美智,かねこ みち,1993-05-27,女,福岡県,バックパック A,バッグ,Unisex,,,10200
201901250019-2,2019-01-25,C00002053,PA-BWWM,1,19800,2019-01-31,,配達済み,金子 美智,かねこ みち,1993-05-27,女,福岡県,Women White パンツ B M,ボトムス,Women,White,M,19800
201901250016-1,2019-01-25,C00001832,PA-CWBS,1,14300,2019-01-28,,配達済み,大坪 順子,おおつぼ じゅんこ,1996-01-04,女,東京都,Women Black パンツ C S,ボトムス,Women,Black,S,14300
201901250017-1,2019-01-25,C00001861,TB-BUNN,1,9800,2019-02-01,2019-01-25,キャンセル,河村 奈々子,かわむら ななこ,1995-08-28,女,神奈川県,トートバッグ B,バッグ,Unisex,,,9800
201901250006-1,2019-01-25,C00001621,HC-BUNN,2,1960,2019-01-31,,配達済み,杉山 葵,すぎやま あおい,1973-12-11,女,熊本県,ハンカチ B,小物,Unisex,,,980
